Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price Parsed,Sale Price Parsed,Budget Parsed,Discounts Parsed,Sales Parsed,COGS Parsed,Profit Parsed,Date_ISO
Government,Mexico,Amarilla,Medium,1679,218270,260,350,587650,35259,552391,436540,2021-05-25
Government,United States of America,Amarilla,Medium,727,94510,260,350,254450,15267,239183,189020,2019-12-25
Government,France,Amarilla,Medium,1403,3507.5,260,7,9821,589.26,9231.74,7015,2020-01-28
Government,France,Amarilla,Medium,2076,269880,260,350,726600,43596,683004,539760,2019-03-23
Government,France,Montana,Medium,1757,8785,5,20,35140,2108.4,33031.6,17570,2020-12-04
Midmarket,United States of America,Paseo,Medium,2198,10990,10,15,32970,1978.2,30991.8,21980,2020-02-20
Midmarket,Germany,Paseo,Medium,1743,8715,10,15,26145,1568.7,24576.3,17430,2021-03-29
Midmarket,United States of America,Paseo,Medium,1153,5765,10,15,17295,1037.7,16257.3,11530,2020-08-12
Government,France,Paseo,Medium,1757,8785,10,20,35140,2108.4,33031.6,17570,2018-11-19
Government,Germany,Velo,Medium,1001,5005,120,20,20020,1201.2,18818.8,10010,2021-07-04
Government,Mexico,Velo,Medium,1333,3332.5,120,7,9331,559.86,8771.14,6665,2018-11-29
Midmarket,United States of America,VTT,Medium,1153,5765,250,15,17295,1037.7,16257.3,11530,2019-10-04
Channel Partners,Mexico,Carretera,Medium,727,1090.5,3,12,8724,610.68,8113.32,2181,2018-11-26
Channel Partners,Canada,Carretera,Medium,1884,2826,3,12,22608,1582.56,21025.44,5652,2020-06-07
Government,Mexico,Carretera,Medium,1834,9170,3,20,36680,2567.6,34112.4,18340,2019-05-11
Channel Partners,Mexico,Montana,Medium,2340,3510,5,12,28080,1965.6,26114.4,7020,2020-11-21
Channel Partners,France,Montana,Medium,2342,3513,5,12,28104,1967.28,26136.72,7026,2020-12-04
Government,France,Paseo,Medium,1031,2577.5,10,7,7217,505.19,6711.81,5155,2019-11-10
Midmarket,Canada,Velo,Medium,1262,6310,120,15,18930,1325.1,17604.9,12620,2019-11-06
Government,Canada,Velo,Medium,1135,2837.5,120,7,7945,556.15,7388.85,5675,2020-02-12
Government,United States of America,Velo,Medium,547,1367.5,120,7,3829,268.03,3560.97,2735,2020-04-11
Government,Canada,Velo,Medium,1582,3955,120,7,11074,775.18,10298.82,7910,2019-05-29
Channel Partners,France,VTT,Medium,1738,2607.75,250,12,20862,1460.34,19401.66,5215.5,2019-06-25
Channel Partners,Germany,VTT,Medium,2215,3322.5,250,12,26580,1860.6,24719.4,6645,2020-09-22
Government,Canada,VTT,Medium,1582,3955,250,7,11074,775.18,10298.82,7910,2019-01-20
Government,Canada,Amarilla,Medium,1135,2837.5,260,7,7945,556.15,7388.85,5675,2019-09-26
Government,United States of America,Carretera,Medium,1761,228930,3,350,616350,43144.5,573205.5,457860,2019-01-24
Small Business,France,Carretera,Medium,448,56000,3,300,134400,9408,124992,112000,2019-09-15
Small Business,France,Carretera,Medium,2181,272625,3,300,654300,45801,608499,545250,2021-04-20
Government,France,Montana,Medium,1976,9880,5,20,39520,2766.4,36753.6,19760,2019-06-18
Small Business,France,Montana,Medium,2181,272625,5,300,654300,45801,608499,545250,2020-11-16
Enterprise,Germany,Montana,Medium,2500,150000,5,125,312500,21875,290625,300000,2019-07-04
Small Business,Canada,Paseo,Medium,1702,212750,10,300,510600,35742,474858,425500,2021-04-18
Small Business,France,Paseo,Medium,448,56000,10,300,134400,9408,124992,112000,2020-03-24
Enterprise,Germany,Paseo,Medium,3513,210780,10,125,439125,30738.75,408386.25,421560,2020-10-24
Midmarket,France,Paseo,Medium,2101,10505,10,15,31515,2206.05,29308.95,21010,2018-12-08
Midmarket,United States of America,Paseo,Medium,2931,14655,10,15,43965,3077.55,40887.45,29310,2018-10-28
Government,France,Paseo,Medium,1535,7675,10,20,30700,2149,28551,15350,2021-06-28
Small Business,Germany,Paseo,Medium,1123,140375,10,300,336900,23583,313317,280750,2019-06-08
Small Business,Canada,Paseo,Medium,1404,175500,10,300,421200,29484,391716,351000,2020-08-08
Channel Partners,Mexico,Paseo,Medium,2763,4144.5,10,12,33156,2320.92,30835.08,8289,2019-01-22
Government,Germany,Paseo,Medium,2125,5312.5,10,7,14875,1041.25,13833.75,10625,2019-11-24
Small Business,France,Velo,Medium,1659,207375,120,300,497700,34839,462861,414750,2019-03-23
Government,Mexico,Velo,Medium,609,3045,120,20,12180,852.6,11327.4,6090,2018-10-10
Enterprise,Germany,Velo,Medium,2087,125220,120,125,260875,18261.25,242613.75,250440,2020-07-30
Government,France,Velo,Medium,1976,9880,120,20,39520,2766.4,36753.6,19760,2019-03-06
Government,United States of America,Velo,Medium,1421,7105,120,20,28420,1989.4,26430.6,14210,2021-05-06
Small Business,United States of America,Velo,Medium,1372,171500,120,300,411600,28812,382788,343000,2019-08-31
Government,Germany,Velo,Medium,588,2940,120,20,11760,823.2,10936.8,5880,2020-05-04
Channel Partners,Canada,VTT,Medium,3244,4866.75,250,12,38934,2725.38,36208.62,9733.5,2019-08-31
Small Business,France,VTT,Medium,959,119875,250,300,287700,20139,267561,239750,2019-10-03
Small Business,Mexico,VTT,Medium,2747,343375,250,300,824100,57687,766413,686750,2019-02-21
Enterprise,Canada,Amarilla,Medium,1645,98700,260,125,205625,14393.75,191231.25,197400,2018-11-24
Government,France,Amarilla,Medium,2876,373880,260,350,1006600,70462,936138,747760,2020-09-02
Enterprise,Germany,Amarilla,Medium,994,59640,260,125,124250,8697.5,115552.5,119280,2019-09-28
Government,Canada,Amarilla,Medium,1118,5590,260,20,22360,1565.2,20794.8,11180,2019-01-29
Small Business,United States of America,Amarilla,Medium,1372,171500,260,300,411600,28812,382788,343000,2020-12-17
Government,Canada,Montana,Medium,488,1220,5,7,3416,273.28,3142.72,2440,2021-06-29
Government,United States of America,Montana,Medium,1282,6410,5,20,25640,2051.2,23588.8,12820,2021-06-19
Government,Canada,Paseo,Medium,257,642.5,10,7,1799,143.92,1655.08,1285,2019-02-21
Government,United States of America,Amarilla,Medium,1282,6410,260,20,25640,2051.2,23588.8,12820,2019-05-15
Enterprise,Mexico,Carretera,Medium,1540,92400,3,125,192500,15400,177100,184800,2020-02-27
Midmarket,France,Carretera,Medium,490,2450,3,15,7350,588,6762,4900,2019-08-29
Government,Mexico,Carretera,Medium,1362,177060,3,350,476700,38136,438564,354120,2020-02-10
Midmarket,France,Montana,Medium,2501,12505,5,15,37515,3001.2,34513.8,25010,2021-05-02
Government,Canada,Montana,Medium,708,3540,5,20,14160,1132.8,13027.2,7080,2020-12-17
Government,Germany,Montana,Medium,645,3225,5,20,12900,1032,11868,6450,2020-10-01
Small Business,France,Montana,Medium,1562,195250,5,300,468600,37488,431112,390500,2021-04-28
Small Business,Canada,Montana,Medium,1283,160375,5,300,384900,30792,354108,320750,2020-08-30
Midmarket,Germany,Montana,Medium,711,3555,5,15,10665,853.2,9811.8,7110,2019-12-08
Enterprise,Mexico,Paseo,Medium,1114,66840,10,125,139250,11140,128110,133680,2019-04-26
Government,Germany,Paseo,Medium,1259,3147.5,10,7,8813,705.04,8107.96,6295,2018-11-29
Government,Germany,Paseo,Medium,1095,2737.5,10,7,7665,613.2,7051.8,5475,2019-02-18
Government,Germany,Paseo,Medium,1366,6830,10,20,27320,2185.6,25134.4,13660,2021-01-15
Small Business,Mexico,Paseo,Medium,2460,307500,10,300,738000,59040,678960,615000,2021-02-21
Government,United States of America,Paseo,Medium,678,1695,10,7,4746,379.68,4366.32,3390,2019-10-27
Government,Germany,Paseo,Medium,1598,3995,10,7,11186,894.88,10291.12,7990,2018-12-20
Government,Germany,Paseo,Medium,2409,6022.5,10,7,16863,1349.04,15513.96,12045,2021-06-27
Government,Germany,Paseo,Medium,1934,9670,10,20,38680,3094.4,35585.6,19340,2019-08-17
Government,Mexico,Paseo,Medium,2993,14965,10,20,59860,4788.8,55071.2,29930,2020-03-27
Government,Germany,Paseo,Medium,2146,278980,10,350,751100,60088,691012,557960,2021-03-11
Government,Mexico,Paseo,Medium,1946,4865,10,7,13622,1089.76,12532.24,9730,2019-08-07
Government,Mexico,Paseo,Medium,1362,177060,10,350,476700,38136,438564,354120,2020-07-15
Channel Partners,Canada,Velo,Medium,598,897,120,12,7176,574.08,6601.92,1794,2019-02-28
Government,United States of America,Velo,Medium,2907,7267.5,120,7,20349,1627.92,18721.08,14535,2021-04-12
Government,Germany,Velo,Medium,2338,5845,120,7,16366,1309.28,15056.72,11690,2021-03-07
Small Business,France,Velo,Medium,386,48250,120,300,115800,9264,106536,96500,2020-09-25
Small Business,Mexico,Velo,Medium,635,79375,120,300,190500,15240,175260,158750,2019-04-27
Government,France,VTT,Medium,574,74685,250,350,201075,16086,184989,149370,2021-06-25
Government,Germany,VTT,Medium,2338,5845,250,7,16366,1309.28,15056.72,11690,2020-08-18
Government,France,VTT,Medium,381,49530,250,350,133350,10668,122682,99060,2020-08-02
Government,Germany,VTT,Medium,422,54860,250,350,147700,11816,135884,109720,2018-12-07
Small Business,Canada,VTT,Medium,2134,266750,250,300,640200,51216,588984,533500,2019-05-16
Small Business,United States of America,VTT,Medium,808,101000,250,300,242400,19392,223008,202000,2019-02-02
Government,Canada,Amarilla,Medium,708,3540,260,20,14160,1132.8,13027.2,7080,2019-03-16
Government,United States of America,Amarilla,Medium,2907,7267.5,260,7,20349,1627.92,18721.08,14535,2020-11-15
Government,Germany,Amarilla,Medium,1366,6830,260,20,27320,2185.6,25134.4,13660,2020-12-05
Small Business,Mexico,Amarilla,Medium,2460,307500,260,300,738000,59040,678960,615000,2021-03-28
Government,Germany,Amarilla,Medium,1520,7600,260,20,30400,2432,27968,15200,2021-05-14
Midmarket,Germany,Amarilla,Medium,711,3555,260,15,10665,853.2,9811.8,7110,2020-05-11
Channel Partners,Mexico,Amarilla,Medium,1375,2062.5,260,12,16500,1320,15180,4125,2020-03-01
Small Business,Mexico,Amarilla,Medium,635,79375,260,300,190500,15240,175260,158750,2020-01-17
