Segment,Country,Product,Discount Band,Units Sold,Procurement,Manufacturing Price Parsed,Sale Price Parsed,Budget Parsed,Discounts Parsed,Sales Parsed,COGS Parsed,Sales_MA_3,Date_ISO
Channel Partners,France,VTT,Medium,1738,2607,250,12,20862,1460,19401,5215,,2018-06-18
Small Business,France,Paseo,Low,2434,304312,10,300,730350,21910,708439,608625,,2018-06-20
Government,Germany,Montana,None,2146,5365,5,7,15022,0,15022,10730,247621,2018-06-21
Channel Partners,Germany,Carretera,Medium,1116,1674,3,12,13392,669,12722,3348,245394,2018-06-21
Government,Mexico,Velo,Medium,609,3045,120,20,12180,852,11327,6090,13024,2018-06-27
Government,Canada,Velo,Low,3850,19252,120,20,77010,2310,74699,38505,32916,2018-06-29
Government,Germany,Montana,Medium,1159,2897,5,7,8113,405,7707,5795,31244,2018-07-17
Enterprise,France,Montana,Medium,1857,111420,5,125,232125,20891,211233,222840,97880,2018-07-19
Channel Partners,United States of America,Paseo,None,912,1368,10,12,10944,0,10944,2736,76628,2018-07-19
Government,Germany,Velo,Low,2877,374010,120,350,1006950,20139,986811,748020,402996,2018-07-20
Channel Partners,United States of America,Montana,Low,1142,1713,5,12,13704,274,13429,3426,337061,2018-07-22
Government,France,VTT,High,293,1465,250,20,5860,879,4981,2930,335074,2018-07-23
Midmarket,France,Paseo,None,549,2745,10,15,8235,0,8235,5490,8882,2018-07-25
Government,France,Velo,Low,2177,283010,120,350,761950,30478,731472,566020,248229,2018-07-28
Channel Partners,France,Paseo,High,1198,1797,10,12,14376,1581,12794,3594,250834,2018-07-29
Midmarket,United States of America,Paseo,Low,1514,7570,10,15,22710,227,22482,15140,255583,2018-07-30
Midmarket,Canada,Amarilla,Medium,1630,8152,260,15,24457,2201,22256,16305,19177,2018-07-30
Government,Germany,Amarilla,Medium,1350,175500,260,350,472500,23625,448875,351000,164538,2018-07-31
Small Business,Canada,Paseo,High,1366,170750,10,300,409800,45078,364722,341500,278618,2018-07-31
Small Business,Germany,Montana,Low,2021,252625,5,300,606300,24252,582048,505250,465215,2018-08-02
Government,Germany,Velo,High,2665,6662,120,7,18655,1865,16789,13325,321186,2018-08-02
